Wildlife,City,Month,Oxygen level,Temperature,Humidity,Wind speed,Drought,Topography,Intensity,Possibility of fire
250,"New York, USA",January,Low,Low,High,Low,High,High,Low,Low
150,"Los Angeles, USA",February,High,High,Low,High,Low,Low,High,High
200,"Chicago, USA",March,Low,Low,High,High,High,High,Low,Low
100,"Houston, USA",April,High,High,Low,High,Low,Low,High,High
97,"Phoenix, USA",May,High,High,High,Low,Low,High,High,High
160,"London, UK",June,Low,Low,High,Low,High,Low,Low,Low
230,"Paris, France",July,High,High,Low,High,Low,High,High,High
786,"Berlin, Germany",August,Low,Low,High,High,High,Low,Low,Low
548,"Rome, Italy",September,High,High,Low,High,Low,Low,High,High
659,"Madrid, Spain",October,High,High,Low,High,Low,High,High,Low
245,"Tokyo, Japan",November,Low,Low,High,Low,High,Low,Low,Low
156,"Sydney, Australia",December,High,High,Low,High,Low,Low,High,High
758,"New Delhi, India",January,Low,Low,High,Low,High,Low,Low,Low
568,"Mumbai, India",February,High,High,Low,High,Low,Low,High,High
954,"Bangalore, India",March,High,Low,High,Low,High,Low,High,Low
125,"Kolkata, India",April,High,High,Low,High,Low,High,High,High
324,"Chennai, India",May,High,High,High,Low,Low,High,High,Low
565,"Beijing, China",June,Low,Low,High,Low,High,High,Low,Low
215,"Shanghai, China",July,High,High,Low,High,Low,Low,High,High
246,"Guangzhou, China",August,Low,Low,High,High,High,Low,Low,Low
215,"Shenzhen, China",September,High,High,Low,High,Low,Low,High,High
215,"Tokyo, Japan",October,Low,Low,High,Low,High,High,Low,Low
458,"Sydney, Australia",November,High,High,Low,High,Low,Low,High,High
100,"Melbourne, Australia",December,High,High,Low,High,Low,Low,High,High
102,"Berlin, Germany",January,Low,Low,High,Low,High,High,Low,Low
165,"Rome, Italy",February,High,High,Low,High,Low,Low,High,High
485,"Madrid, Spain",March,Low,Low,High,High,High,High,Low,Low
200,"London, UK",April,High,High,Low,High,Low,Low,High,High
945,"Paris, France",May,Low,Low,High,Low,High,Low,Low,Low
658,"Moscow, Russia",June,High,High,Low,High,Low,Low,High,High
512,"St. Petersburg, Russia",July,High,Low,High,High,High,High,Low,Low
354,"Novosibirsk, Russia",August,High,High,Low,High,Low,Low,High,High
125,"Yekaterinburg, Russia",September,Low,Low,High,High,High,High,Low,Low
785,"Chelyabinsk, Russia",October,High,High,Low,High,Low,Low,High,High
456,"Omsk, Russia",November,Low,Low,High,High,High,Low,Low,Low
548,"Kazan, Russia",December,High,High,Low,High,Low,High,High,High
985,"Rio de Janeiro, Brazil",January,High,High,Low,High,Low,Low,High,High
215,"Mexico City, Mexico",February,High,High,Low,High,Low,High,High,High
778,"Buenos Aires, Argentina",March,Low,Low,High,Low,High,Low,Low,Low
458,"Bogotá, Colombia",April,High,High,Low,High,Low,Low,High,High
954,"Lima, Peru",May,Low,Low,High,Low,High,High,Low,Low
215,"Cairo, Egypt",June,High,High,Low,High,Low,Low,High,High
235,"Lagos, Nigeria",July,High,High,Low,High,Low,Low,High,High
214,"Kinshasa, Democratic Republic of the Congo",August,High,High,Low,High,Low,Low,High,High
268,"Johannesburg, South Africa",September,High,High,Low,High,Low,High,High,High
247,"Osaka, Japan",October,Low,Low,High,Low,High,Low,Low,Low
